player_name,shot_count
Lionel Andres Messi Cuccittini,195
Antoine Griezmann,64
Ousmane Dembele,47
Philippe Coutinho Correia,27
Jordi Alba Ramos,24
Martin Braithwaite Christensen,22
Pedro Gonzalez Lopez,22
Francisco Antonio Machado Mota de Castro Trincao,20
Frenkie de Jong,15
Anssumane Fati,14
Sergino Dest,14
Miralem Pjanic,14
Moriba Kourouma Kourouma,13
Clement Lenglet,10
Ronald Federico Araujo da Silva,10
Oscar Mingueza Garcia,9
Gerard Pique Bernabeu,8
Rafael Mir Vicente,6
Gerard Moreno Balaguero,6
Yannick Ferreira Carrasco,6
Karim Benzema,6
Jonathan Calleri,5
Sergi Roberto Carnicer,5
Toni Kroos,5
Jose Luis Morales Nogales,5
Saul Niguez Esclapez,4
Roque Mesa Quevedo,4
Adnan Januzaj,4
Willian Jose da Silva,4
Alexander Isak,4
Lucas Perez Martinez,4
Manuel Agudo Duran,4
Sergio Ramos Garcia,4
Jorge Andujar Moreno,3
Ricard Puig Marti,3
Lorenzo Jesus Moron Garcia,3
Jose Antonio Rodriguez Diaz,3
Goncalo Manuel Ganchinho Guedes,3
Ruben Alcaraz Jimenez,3
Federico Santiago Valverde Dipetta,3
Enrique Barja Afonso,3
Uros Racic,3
Daniel Gomez Alcon,3
Raul Garcia Escudero,3
Cristian Tello Herrera,3
Inaki Williams Arthuer,3
Luis Alberto Suarez Diaz,3
Darwin Daniel Machis Marcano,3
Ante Budimir,3
Yuri Berchiche Izeta,3
Fabian Ariel Orellana Valenzuela,2
Luka Modric,2
Iker Muniain Goni,2
Carlos Soler Barragan,2
Juan Camilo Hernandez Suarez,2
Miguel Baeza Perez,2
Jorge De Frutos Sebastian,2
Borja Iglesias Quintas,2
Juan Miguel Jimenez Lopez,2
Sergio Busquets i Burgos,2
Santiago Mina Lorenzo,2
Maximiliano Gomez Gonzalez,2
Jon Bautista Orgilles,2
Mario Gaspar Perez Martinez,2
Jose Luis Gaya Pena,2
Angel Martin Correa,2
Alejandro Moreno Lopera,2
Denis Cheryshev,2
Joan Jordan Moreno,2
Alberto Perea Correoso,2
Jaime Mata Arnaiz,2
Sergio Leon Limones,2
Victor Ruiz Torre,2
Alejandro Berenguer Remiro,2
Marcos Andre de Sousa Mendonca,2
Marc Cucurella Saseta,2
Gonzalo Julian Melero Manzanares,2
Samuel Yves Umtiti,2
Lucas Ariel Ocampos,2
Mikel Merino Zazon,2
Vinicius Jose Paixao de Oliveira Junior,2
Ruben Sobrino Pozuelo,2
Facundo Sebastian Roncaglia,2
Ruben Garcia Santos,2
Arnaldo Antonio Sanabria Ayala,2
Luis Javier Suarez Charris,2
Luis Jesus Rioja Gonzalez,2
Jesus Navas Gonzalez,2
Raphael Varane,2
Takefusa Kubo,2
Roberto Torres Morales,2
Gabriel Armando de Abreu,2
Lucas Ariel Boye,2
Lucas Rene Olaza Catrofe,2
Marcos Llorente Moreno,2
Jules Kounde,2
Francisco Roman Alarcon Suarez,2
Alvaro Negredo Sanchez,2
Guido Marcelo Carrillo,2
Jairo Izquierdo Gonzalez,1
Jorge Molina Vidal,1
Jose Raul Gutierrez Parejo,1
Kenan Kodro,1
Kevin Gameiro,1
Eder Gabriel Militao,1
Nabil Fekir,1
Ander Barrenetxea Muguruza,1
Rodrigo Andres Battaglia,1
Yangel Clemente Herrera Ravelo,1
Etienne Capoue,1
Ivan Rakitic,1
Manuel Trigueros Munoz,1
Enrique Perez Munoz,1
Carles Alena Castillo,1
Juan Carlos Real Ruiz,1
Omobolaji Habeeb Adekanye,1
Mikel Oyarzabal Ugarte,1
Roberto Soldado Rillo,1
Denis Suarez Fernandez,1
Adrian Lopez Alvarez,1
Sergio Guardiola Navarro,1
Marcelo Vieira da Silva Junior,1
Iago Aspas Juncal,1
Roberto Suarez Pier,1
Luuk de Jong,1
Thomas Lemar,1
Francis Joseph Coquelin,1
Samuel Chimerenka Chukwueze,1
David Timor Copovi,1
Yan Brice Eteki,1
Sergio Canales Madrazo,1
David Garcia Zubiria,1
Ignacio Monreal Eraso,1
Alvaro Gimenez Candela,1
Angel Luis Rodriguez Diaz,1
Pervis Josue Estupinan Tenorio,1
Hector Junior Firpo Adames,1
Martin Zubimendi Ibanez,1
Martin Merquelanz Castellanos,1
William Silva de Carvalho,1
Robert Kenedy Nunes do Nascimento,1
Enes Unal,1
Roger Marti Salvador,1
Javier Sanchez de Felipe,1
Shinji Okazaki,1
Mickael Malsa,1
David Ferreiro Quiroga,1
Carlos Henrique Casimiro,1
Mouctar Diakhaby,1
Vicente Iborra De La Fuente,1
Alejandro Fernandez Iglesias,1
Lucas Vazquez Iglesias,1
Carlos Fernandez Luna,1
Marc-Andre ter Stegen,1
Ivan Alejo Peralta,1
Sofian Chakla,1
Augusto Jorge Mateo Solari,1
Francisco Javier Hidalgo Gomez,1
Jesus Joaquin Fernandez Saez de la Torre,1
Felipe Augusto de Almeida Monteiro,1
Jose Antonio Miranda Boacho,1
Jon Moncayola Tollar,1
Pablo Insua Blanco,1
Pere Milla Pena,1
Nestor Alejandro Araujo Razo,1
Jose Manuel Fontan Mondragon,1
Jose Luis Sanmartin Mato,1
Sergio Escudero Palomo,1
Marc Bartra Aregall,1
Pablo Maffeo Becerra,1
Mathias Olivera Miramontes,1
Oscar Plano Pedreno,1
Joao Pedro Neves Filipe,1
Enis Bardhi,1
Pablo Hervias Ruiz,1
Youssef En-Nesyri,1
Christian Gabriel Oliva Gimenez,1
Florian Gregoire Claude Lejeune,1
Edgar Antonio Mendez Ortega,1
Thierry Rendall Correia,1
Yeray Alvarez Lopez,1
Nemanja Maksimovic,1
Joao Felix Sequeira,1
Unai Vencedor Paris,1
Javier Ontiveros Parra,1
